zone_i,zone_j,cosine_similarity
ME,ME,0.9999999999807496
ME,NH,0.9999999999807496
ME,VT,0.9999999999807496
ME,CT,0.9999999999807496
ME,RI,0.9999999999807496
ME,SEMA,0.9999999999807496
ME,WCMA,0.9999999999807496
ME,NEMA_BOST,0.9999999999807496
NH,ME,0.9999999999807496
NH,NH,0.9999999999807496
NH,VT,0.9999999999807496
NH,CT,0.9999999999807496
NH,RI,0.9999999999807496
NH,SEMA,0.9999999999807496
NH,WCMA,0.9999999999807496
NH,NEMA_BOST,0.9999999999807496
VT,ME,0.9999999999807496
VT,NH,0.9999999999807496
VT,VT,0.9999999999807496
VT,CT,0.9999999999807496
VT,RI,0.9999999999807496
VT,SEMA,0.9999999999807496
VT,WCMA,0.9999999999807496
VT,NEMA_BOST,0.9999999999807496
CT,ME,0.9999999999807496
CT,NH,0.9999999999807496
CT,VT,0.9999999999807496
CT,CT,0.9999999999807496
CT,RI,0.9999999999807496
CT,SEMA,0.9999999999807496
CT,WCMA,0.9999999999807496
CT,NEMA_BOST,0.9999999999807496
RI,ME,0.9999999999807496
RI,NH,0.9999999999807496
RI,VT,0.9999999999807496
RI,CT,0.9999999999807496
RI,RI,0.9999999999807496
RI,SEMA,0.9999999999807496
RI,WCMA,0.9999999999807496
RI,NEMA_BOST,0.9999999999807496
SEMA,ME,0.9999999999807496
SEMA,NH,0.9999999999807496
SEMA,VT,0.9999999999807496
SEMA,CT,0.9999999999807496
SEMA,RI,0.9999999999807496
SEMA,SEMA,0.9999999999807496
SEMA,WCMA,0.9999999999807496
SEMA,NEMA_BOST,0.9999999999807496
WCMA,ME,0.9999999999807496
WCMA,NH,0.9999999999807496
WCMA,VT,0.9999999999807496
WCMA,CT,0.9999999999807496
WCMA,RI,0.9999999999807496
WCMA,SEMA,0.9999999999807496
WCMA,WCMA,0.9999999999807496
WCMA,NEMA_BOST,0.9999999999807496
NEMA_BOST,ME,0.9999999999807496
NEMA_BOST,NH,0.9999999999807496
NEMA_BOST,VT,0.9999999999807496
NEMA_BOST,CT,0.9999999999807496
NEMA_BOST,RI,0.9999999999807496
NEMA_BOST,SEMA,0.9999999999807496
NEMA_BOST,WCMA,0.9999999999807496
NEMA_BOST,NEMA_BOST,0.9999999999807496
