patch_y,patch_x,raw_y_center,raw_x_center,proj_y_center,proj_x_center,lat,lon
0,0,118.5,189.0,568193.8474433364,1919479.8574780696,,
0,1,118.5,208.0,568193.8474433364,1976479.8574780696,,
0,2,118.5,227.5,568193.8474433364,2034979.8574780691,,
0,3,118.5,247.0,568193.8474433364,2093479.8574780691,,
0,4,118.5,266.5,568193.8474433364,2151979.857478069,,
0,5,118.5,286.0,568193.8474433364,2210479.857478069,,
0,6,118.5,305.0,568193.8474433364,2267479.857478069,,
0,7,118.5,324.5,568193.8474433364,2325979.857478069,,
0,8,118.5,344.0,568193.8474433364,2384479.857478069,,
0,9,118.5,363.5,568193.8474433364,2442979.857478069,,
1,0,146.5,189.0,652193.8474433363,1919479.8574780696,,
1,1,146.5,208.0,652193.8474433363,1976479.8574780696,,
1,2,146.5,227.5,652193.8474433363,2034979.8574780691,,
1,3,146.5,247.0,652193.8474433363,2093479.8574780691,,
1,4,146.5,266.5,652193.8474433363,2151979.857478069,,
1,5,146.5,286.0,652193.8474433363,2210479.857478069,,
1,6,146.5,305.0,652193.8474433363,2267479.857478069,,
1,7,146.5,324.5,652193.8474433363,2325979.857478069,,
1,8,146.5,344.0,652193.8474433363,2384479.857478069,,
1,9,146.5,363.5,652193.8474433363,2442979.857478069,,
2,0,174.5,189.0,736193.847443336,1919479.8574780696,,
2,1,174.5,208.0,736193.847443336,1976479.8574780696,,
2,2,174.5,227.5,736193.847443336,2034979.8574780691,,
2,3,174.5,247.0,736193.847443336,2093479.8574780691,,
2,4,174.5,266.5,736193.847443336,2151979.857478069,,
2,5,174.5,286.0,736193.847443336,2210479.857478069,,
2,6,174.5,305.0,736193.847443336,2267479.857478069,,
2,7,174.5,324.5,736193.847443336,2325979.857478069,,
2,8,174.5,344.0,736193.847443336,2384479.857478069,,
2,9,174.5,363.5,736193.847443336,2442979.857478069,,
3,0,202.5,189.0,820193.847443336,1919479.8574780696,,
3,1,202.5,208.0,820193.847443336,1976479.8574780696,,
3,2,202.5,227.5,820193.847443336,2034979.8574780691,,
3,3,202.5,247.0,820193.847443336,2093479.8574780691,,
3,4,202.5,266.5,820193.847443336,2151979.857478069,,
3,5,202.5,286.0,820193.847443336,2210479.857478069,,
3,6,202.5,305.0,820193.847443336,2267479.857478069,,
3,7,202.5,324.5,820193.847443336,2325979.857478069,,
3,8,202.5,344.0,820193.847443336,2384479.857478069,,
3,9,202.5,363.5,820193.847443336,2442979.857478069,,
4,0,230.5,189.0,904193.847443336,1919479.8574780696,,
4,1,230.5,208.0,904193.847443336,1976479.8574780696,,
4,2,230.5,227.5,904193.847443336,2034979.8574780691,,
4,3,230.5,247.0,904193.847443336,2093479.8574780691,,
4,4,230.5,266.5,904193.847443336,2151979.857478069,,
4,5,230.5,286.0,904193.847443336,2210479.857478069,,
4,6,230.5,305.0,904193.847443336,2267479.857478069,,
4,7,230.5,324.5,904193.847443336,2325979.857478069,,
4,8,230.5,344.0,904193.847443336,2384479.857478069,,
4,9,230.5,363.5,904193.847443336,2442979.857478069,,
5,0,258.5,189.0,988193.847443336,1919479.8574780696,,
5,1,258.5,208.0,988193.847443336,1976479.8574780696,,
5,2,258.5,227.5,988193.847443336,2034979.8574780691,,
5,3,258.5,247.0,988193.847443336,2093479.8574780691,,
5,4,258.5,266.5,988193.847443336,2151979.857478069,,
5,5,258.5,286.0,988193.847443336,2210479.857478069,,
