sample_index,anchor_row_index,anchor_timestamp_utc,future_start_hour_int,future_end_hour_int
0,34344,2022-12-02 00:00:00,463872,463895
1,34368,2022-12-03 00:00:00,463896,463919
2,34392,2022-12-04 00:00:00,463920,463943
3,34416,2022-12-05 00:00:00,463944,463967
4,34440,2022-12-06 00:00:00,463968,463991
5,34464,2022-12-07 00:00:00,463992,464015
6,34488,2022-12-08 00:00:00,464016,464039
7,34512,2022-12-09 00:00:00,464040,464063
8,34536,2022-12-10 00:00:00,464064,464087
9,34560,2022-12-11 00:00:00,464088,464111
10,34584,2022-12-12 00:00:00,464112,464135
11,34608,2022-12-13 00:00:00,464136,464159
12,34632,2022-12-14 00:00:00,464160,464183
13,34656,2022-12-15 00:00:00,464184,464207
14,34680,2022-12-16 00:00:00,464208,464231
15,34704,2022-12-17 00:00:00,464232,464255
16,34728,2022-12-18 00:00:00,464256,464279
17,34752,2022-12-19 00:00:00,464280,464303
18,34776,2022-12-20 00:00:00,464304,464327
19,34800,2022-12-21 00:00:00,464328,464351
20,34824,2022-12-22 00:00:00,464352,464375
21,34848,2022-12-23 00:00:00,464376,464399
22,34872,2022-12-24 00:00:00,464400,464423
23,34896,2022-12-25 00:00:00,464424,464447
24,34920,2022-12-26 00:00:00,464448,464471
25,34944,2022-12-27 00:00:00,464472,464495
26,34968,2022-12-28 00:00:00,464496,464519
27,34992,2022-12-29 00:00:00,464520,464543
28,35016,2022-12-30 00:00:00,464544,464567
29,35040,2022-12-31 00:00:00,464568,464591
