zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
ME,1,1,4,0,0.023950282484292984,0.025360522236232582
ME,1,2,5,0,0.023191053420305252,0.02455658827126652
ME,1,3,2,0,0.022686747834086418,0.02402258817997129
ME,1,4,3,0,0.022189272567629814,0.023495820591103708
ME,1,5,4,1,0.019557030871510506,0.02070858732530188
ME,1,6,1,0,0.017964737489819527,0.019022536576653596
ME,1,7,0,0,0.015389717184007168,0.016295894009196107
ME,1,8,0,9,0.01514188852161169,0.016033472707586066
ME,2,1,4,0,0.02377277985215187,0.025106670787961145
ME,2,2,5,0,0.022899137809872627,0.024184008681196984
ME,2,3,2,0,0.022345565259456635,0.023599375168962263
ME,2,4,3,0,0.02203238196671009,0.023268619158256794
ME,2,5,4,1,0.01927396096289158,0.020355423121942183
ME,2,6,1,0,0.0172582920640707,0.018226655019307054
ME,2,7,0,9,0.015228180214762688,0.016082633572076028
ME,2,8,0,0,0.014770686626434326,0.015599470013535628
ME,3,1,4,0,0.023729046806693077,0.02506617866723021
ME,3,2,5,0,0.022615671157836914,0.023890064297136755
ME,3,3,2,0,0.022452758625149727,0.023717971642731598
ME,3,4,3,0,0.022292576730251312,0.023548763497563012
ME,3,5,4,1,0.018813321366906166,0.019873452083792726
ME,3,6,1,0,0.01714186556637287,0.018107809743758727
ME,3,7,6,0,0.01489949505776167,0.01573908165009075
ME,3,8,0,9,0.01482225488871336,0.015657488997279013
ME,4,1,4,0,0.02384667657315731,0.025233575808435684
ME,4,2,2,0,0.02299204096198082,0.024329235431400267
ME,4,3,3,0,0.02288607880473137,0.024217110619392326
ME,4,4,5,0,0.022521667182445526,0.023831505175874235
ME,4,5,4,1,0.01820784993469715,0.019266800563436753
ME,4,6,1,0,0.017684105783700943,0.01871259596818242
ME,4,7,6,0,0.015796838328242302,0.01671556689530462
ME,4,8,0,0,0.01505149807780981,0.01592687838960579
ME,5,1,4,0,0.02419237047433853,0.025679388439735232
ME,5,2,2,0,0.02376244217157364,0.025223033991143826
ME,5,3,3,0,0.0236508771777153,0.025104611498540062
ME,5,4,5,0,0.022614486515522003,0.024004517631425793
ME,5,5,1,0,0.018534358590841293,0.01967359892410753
ME,5,6,4,1,0.017731349915266037,0.018821232194586448
ME,5,7,6,0,0.016411513090133667,0.017420269748777684
ME,5,8,0,0,0.015769008547067642,0.016738272763274005
ME,6,1,4,0,0.024662667885422707,0.02630576895749754
ME,6,2,2,0,0.02445943094789982,0.026088991764253718
ME,6,3,3,0,0.02433684840798378,0.025958242407037563
ME,6,4,5,0,0.022653639316558838,0.024162892866108326
ME,6,5,1,0,0.019223012030124664,0.02050370687716813
ME,6,6,4,1,0.017544100061058998,0.018712940745807167
ME,6,7,6,0,0.016555234789848328,0.017658194297636553
ME,6,8,0,0,0.016268357634544373,0.01735220452387528
ME,7,1,4,0,0.025000525638461113,0.026831753843167643
ME,7,2,2,0,0.024807119742035866,0.02662418143130139
ME,7,3,3,0,0.024678196758031845,0.026485815149666064
ME,7,4,5,0,0.022399848327040672,0.024040583191211717
ME,7,5,1,0,0.019452055916190147,0.02087687209599302
ME,7,6,4,1,0.01759299822151661,0.01888164290901191
ME,7,7,0,0,0.016305947676301003,0.017500319015572943
ME,7,8,6,0,0.01629582978785038,0.017489460016196463
ME,8,1,4,0,0.025085901841521263,0.027089703364775074
ME,8,2,2,0,0.02472647838294506,0.026701570024515606
ME,8,3,3,0,0.024620788171887398,0.02658743753351727
ME,8,4,5,0,0.021916037425398827,0.0236666378006269
ME,8,5,1,0,0.019173115491867065,0.020704617858050074
ME,8,6,4,1,0.01777533069252968,0.019195181369736636
ME,8,7,6,0,0.0159202478826046,0.017191919005264417
ME,8,8,0,0,0.01588747464120388,0.017156527916139683
ME,9,1,4,0,0.02507656253874302,0.027207222030348286
ME,9,2,2,0,0.02439597062766552,0.026468802830821397
ME,9,3,3,0,0.024389522150158882,0.026461806450874596
ME,9,4,5,0,0.02160344272851944,0.023439004529693566
ME,9,5,1,0,0.01857822947204113,0.020156750487458155
ME,9,6,4,1,0.018055716529488564,0.019589841621069685
ME,9,7,6,0,0.015748405829072,0.017086487565973644
ME,9,8,0,0,0.015199000015854836,0.016490400844682826
ME,10,1,4,0,0.025282111018896103,0.027536169479829363
ME,10,2,3,0,0.024328026920557022,0.02649702281164808
ME,10,3,2,0,0.02414759248495102,0.02630050151660548
ME,10,4,5,0,0.02194450981914997,0.023901000240061337
ME,10,5,4,1,0.018463654443621635,0.02010980481798268
ME,10,6,1,0,0.018001075834035873,0.01960598442965446
ME,10,7,6,0,0.01591520756483078,0.017334147946913722
ME,10,8,7,0,0.014915245585143566,0.016245033097070972
