zone,rank,feature,hist_importance,future_importance,total_importance
ME,1,TMP@2m_above_ground,7.49123375195874e-06,4.438482518480669e-05,5.187605893676543e-05
ME,2,RH@2m_above_ground,7.0499392999560465e-06,4.1674761928334195e-05,4.872470122829024e-05
ME,3,VGRD@10m_above_ground,6.863668068035622e-06,4.019965660972957e-05,4.7063324677765196e-05
ME,4,UGRD@10m_above_ground,6.594679433646888e-06,3.85946731474481e-05,4.518935258109499e-05
ME,5,GUST@surface,6.392678263485625e-06,3.73424980504448e-05,4.373517631393043e-05
ME,6,DSWRF@surface,6.333942605844338e-06,3.714625322572829e-05,4.348019583157263e-05
ME,7,APCP_1h_accumulation,5.923664451756849e-06,3.4363322242825234e-05,4.0286986694582085e-05
NH,1,TMP@2m_above_ground,5.074235452677082e-06,2.9394611548620257e-05,3.4468847001297336e-05
NH,2,RH@2m_above_ground,4.757568682596988e-06,2.7499503607941735e-05,3.225707229053872e-05
NH,3,VGRD@10m_above_ground,4.621104404615532e-06,2.6399787452646704e-05,3.1020891857262234e-05
NH,4,UGRD@10m_above_ground,4.458176123497045e-06,2.5551219960107118e-05,3.0009396083604165e-05
NH,5,GUST@surface,4.319925413180196e-06,2.4614144816344682e-05,2.8934070229524878e-05
NH,6,DSWRF@surface,4.2648010918355794e-06,2.437183076532771e-05,2.863663185716329e-05
NH,7,APCP_1h_accumulation,3.988424492717968e-06,2.26073969713525e-05,2.6595821464070468e-05
VT,1,TMP@2m_above_ground,7.0271609862023375e-06,5.025786997900165e-05,5.7285030965203984e-05
VT,2,RH@2m_above_ground,6.623372577981476e-06,4.7371639251044444e-05,5.399501182902592e-05
VT,3,VGRD@10m_above_ground,6.4359004757837585e-06,4.553355090971915e-05,5.1969451385502906e-05
VT,4,UGRD@10m_above_ground,6.191674568375068e-06,4.351695905218852e-05,4.970863362056359e-05
VT,5,GUST@surface,6.010012579812004e-06,4.233146247164162e-05,4.834147505145362e-05
VT,6,DSWRF@surface,5.933580879021368e-06,4.210702187871599e-05,4.804060275773736e-05
VT,7,APCP_1h_accumulation,5.550110786127031e-06,3.882077180226891e-05,4.437088258839594e-05
