zone,rank,feature,hist_importance,future_importance,total_importance
ME,1,TMP@2m_above_ground,9.898232778218392e-06,4.59711708526786e-05,5.586940363089699e-05
ME,2,RH@2m_above_ground,8.923696375343438e-06,4.118865847302403e-05,5.011235484836747e-05
ME,3,VGRD@10m_above_ground,8.443446833019028e-06,3.865619242580944e-05,4.7099639258828466e-05
ME,4,UGRD@10m_above_ground,8.260961604079845e-06,3.773252996657025e-05,4.5993491570650096e-05
ME,5,GUST@surface,8.010970712392352e-06,3.683724500601901e-05,4.484821571841136e-05
ME,6,DSWRF@surface,7.940470763087148e-06,3.6280260314712316e-05,4.422073107779946e-05
ME,7,APCP_1h_accumulation,7.528807493215995e-06,3.433544409216585e-05,4.1864251585381845e-05
NH,1,TMP@2m_above_ground,6.246735815876182e-06,3.5808164968885944e-05,4.2054900784762124e-05
NH,2,RH@2m_above_ground,5.601058939242466e-06,3.1628875251180515e-05,3.722993419042298e-05
NH,3,VGRD@10m_above_ground,5.274048158231433e-06,2.9424684507610534e-05,3.469873266584197e-05
NH,4,UGRD@10m_above_ground,5.178113181097023e-06,2.8844679046410468e-05,3.4022792227507493e-05
NH,5,GUST@surface,5.0175118286741425e-06,2.8159479446014888e-05,3.317699127468903e-05
NH,6,DSWRF@surface,4.9815375722408165e-06,2.7780866691609205e-05,3.2762404263850025e-05
NH,7,APCP_1h_accumulation,4.707935928096872e-06,2.6078031267412724e-05,3.078596719550959e-05
VT,1,TMP@2m_above_ground,8.42232285607596e-06,5.586710238830279e-05,6.428942524437875e-05
VT,2,RH@2m_above_ground,7.637655059128607e-06,5.070492455637499e-05,5.8342579615503595e-05
VT,3,VGRD@10m_above_ground,7.2335990489416495e-06,4.7210915086595336e-05,5.444451413553698e-05
VT,4,UGRD@10m_above_ground,7.044864604407036e-06,4.591366078770131e-05,5.295852539210834e-05
VT,5,GUST@surface,6.8390998550818195e-06,4.4920960970636646e-05,5.1760060825718464e-05
VT,6,DSWRF@surface,6.783982584165402e-06,4.455055967239543e-05,5.133454225656083e-05
VT,7,APCP_1h_accumulation,6.441441003628456e-06,4.206634361610234e-05,4.8507784619730795e-05
CT,1,TMP@2m_above_ground,6.2984106128466015e-06,3.811667849672748e-05,4.4415089109574084e-05
CT,2,RH@2m_above_ground,5.631752798436547e-06,3.3416800915687016e-05,3.9048553714123566e-05
CT,3,VGRD@10m_above_ground,5.323911143756492e-06,3.139327295967278e-05,3.671718410342927e-05
CT,4,UGRD@10m_above_ground,5.211608807969513e-06,3.065278332136723e-05,3.586439212933674e-05
CT,5,GUST@surface,5.0677469660312455e-06,2.9965830795183254e-05,3.5033577761214496e-05
CT,6,DSWRF@surface,5.0411490549763725e-06,2.9914430054616327e-05,3.49555791095927e-05
CT,7,APCP_1h_accumulation,4.764154624596977e-06,2.77826647131349e-05,3.2546819337731874e-05
RI,1,TMP@2m_above_ground,5.848745694352619e-06,3.2364295031020336e-05,3.821304072537295e-05
RI,2,RH@2m_above_ground,5.207287631142366e-06,2.8196393566973068e-05,3.340368119811543e-05
RI,3,VGRD@10m_above_ground,4.905088351592867e-06,2.6302126265955763e-05,3.120721461754863e-05
RI,4,UGRD@10m_above_ground,4.82787584339142e-06,2.5944764987750406e-05,3.077264083114182e-05
RI,5,GUST@surface,4.679665128787347e-06,2.5289511852902824e-05,2.996917698169017e-05
RI,6,DSWRF@surface,4.657019598708028e-06,2.5177825519527346e-05,2.9834845118235375e-05
RI,7,APCP_1h_accumulation,4.400725549739341e-06,2.3498306759500516e-05,2.7899032309239856e-05
SEMA,1,TMP@2m_above_ground,6.071299835871864e-06,3.645622485763751e-05,4.252752469350938e-05
SEMA,2,RH@2m_above_ground,5.422613214771302e-06,3.2189514433198113e-05,3.7612127647969416e-05
SEMA,3,VGRD@10m_above_ground,5.097021983490736e-06,3.0027027702682978e-05,3.512404968617371e-05
SEMA,4,UGRD@10m_above_ground,5.019339366027893e-06,2.9536349905107977e-05,3.455568927113587e-05
SEMA,5,GUST@surface,4.865074702690869e-06,2.8790488554095136e-05,3.3655563256786e-05
SEMA,6,DSWRF@surface,4.8392145613381465e-06,2.8622070527207997e-05,3.3461285088546144e-05
SEMA,7,APCP_1h_accumulation,4.571293054104779e-06,2.6858474992967243e-05,3.142976804707202e-05
WCMA,1,TMP@2m_above_ground,7.352264025663305e-06,4.1795510489830504e-05,4.914777451549381e-05
WCMA,2,RH@2m_above_ground,6.599556954529949e-06,3.70513317428648e-05,4.365088869739475e-05
WCMA,3,VGRD@10m_above_ground,6.242811544736875e-06,3.462808195541502e-05,4.087089350015189e-05
WCMA,4,UGRD@10m_above_ground,6.10480869666726e-06,3.3957109336140694e-05,4.006191803280796e-05
WCMA,5,GUST@surface,5.92025481577893e-06,3.302732275257736e-05,3.8947577568356285e-05
WCMA,6,DSWRF@surface,5.891724773979612e-06,3.277451008132804e-05,3.866623485530765e-05
WCMA,7,APCP_1h_accumulation,5.579015567655296e-06,3.073885742794577e-05,3.6317872995601066e-05
NEMA_BOST,1,TMP@2m_above_ground,7.56788821755271e-06,3.815524128008144e-05,4.572312949763415e-05
NEMA_BOST,2,RH@2m_above_ground,6.771392245509945e-06,3.3353636307650055e-05,4.012502855316e-05
NEMA_BOST,3,VGRD@10m_above_ground,6.390429032796768e-06,3.115688280075473e-05,3.75473118335515e-05
NEMA_BOST,4,UGRD@10m_above_ground,6.269614184599108e-06,3.06535656848096e-05,3.6923179869408713e-05
NEMA_BOST,5,GUST@surface,6.077368406519635e-06,2.982887477701537e-05,3.590624318353501e-05
NEMA_BOST,6,DSWRF@surface,6.036600186013365e-06,2.952373188261379e-05,3.556033206862716e-05
NEMA_BOST,7,APCP_1h_accumulation,5.719147059324578e-06,2.7667431656420722e-05,3.3386578715745296e-05
